cycle,party,total
2008,DEM,3815197.0
2008,REP,524910.0
2012,DEM,6771874.0
2012,REP,545566.0
2016,DEM,16603497.0
2016,REP,831345.0
2020,DEM,75692567.0
2020,REP,2648313.0
2024,DEM,46585595.0
2024,REP,2062551.0
