cycle,party,total
2008,DEM,6493456.0
2008,REP,3644880.0
2012,DEM,9638715.0
2012,REP,4833585.0
2016,DEM,14270771.0
2016,REP,7050613.0
2020,DEM,40650072.0
2020,REP,9435861.0
