institution,rank_2025,party,total
Chicago,11,REP,31532.0
VCU,136,REP,31159.0
Tulane,63,REP,31059.0
UT Austin,30,REP,30542.0
Missouri,109,REP,30483.0
Brigham Young,109,REP,30335.0
Houston,144,REP,29036.0
Notre Dame,18,REP,28622.0
Washington,46,REP,28495.0
Utah,136,REP,28323.0
TCU,105,REP,26072.0
Harvard,3,REP,24831.0
Pitt,70,REP,23657.0
Princeton,1,REP,23626.0
Boston Univ,41,REP,23220.0
George Washington,63,REP,23180.0
Minnesota,54,REP,22819.0
Virginia,24,REP,22620.0
American,91,REP,21650.0
Florida St,54,REP,21312.0
Maryland,44,REP,20146.0
Michigan St,63,REP,19898.0
Yale,5,REP,19849.0
Rice,18,REP,18924.0
Brown,13,REP,18362.0
Rutgers,41,REP,16664.0
Syracuse,73,REP,15401.0
WPI,86,REP,15360.0
George Mason,109,REP,15040.0
Saint Louis,105,REP,15005.0
North Carolina,27,REP,14280.0
UC San Diego,29,REP,14275.0
South Carolina,121,REP,14241.0
Fla International,98,REP,13525.0
Marquette,86,REP,13015.0
Arizona,109,REP,12987.0
UC Davis,33,REP,12651.0
Georgia Tech,33,REP,12418.0
Oregon St,144,REP,12083.0
NC State,58,REP,11429.0
Vermont,121,REP,10825.0
Fordham,91,REP,10544.0
Tufts,37,REP,10500.0
UC Berkeley,17,REP,10492.0
Clemson,80,REP,10440.0
Delaware,86,REP,9865.0
Dartmouth,15,REP,8921.0
UCF,121,REP,8637.0
Rochester,44,REP,8630.0
UC Irvine,33,REP,8496.0
Boston College,37,REP,7977.0
Thomas Jefferson,136,REP,7289.0
Binghamton,73,REP,7077.0
UW Madison,39,REP,7058.0
Connecticut,70,REP,6830.0
Drexel,86,REP,6686.0
Cornell,11,REP,6617.0
Villanova,58,REP,6550.0
Dayton,136,REP,6510.0
Caltech,6,REP,5994.0
Colorado St,148,REP,5908.0
Case Western,51,REP,5441.0
William & Mary,54,REP,5434.0
Pepperdine,80,REP,5409.0
Denver,121,REP,5122.0
James Madison,148,REP,4575.0
Stony Brook,58,REP,4061.0
San Diego St,109,REP,3752.0
Lehigh,46,REP,3750.0
Carnegie Mellon,21,REP,3617.0
Oregon,109,REP,3385.0
Northeastern,54,REP,3277.0
Santa Clara,63,REP,3001.0
Colorado,98,REP,3000.0
Penn State,63,REP,2895.0
San Diego,109,REP,2700.0
UMBC,144,REP,2441.0
Clarkson,152,REP,2296.0
UC Santa Barbara,39,REP,2220.0
Col School of Mines,76,REP,2197.0
Washington Univ,21,REP,1716.0
Miami Oh,136,REP,1475.0
San Francisco,109,REP,1300.0
Howard,86,REP,1218.0
Univ at Albany,121,REP,1218.0
New Hampshire,109,REP,1201.0
NJIT,84,REP,1150.0
Univ at Buffalo,76,REP,1115.0
Loyola Chicago,132,REP,975.0
Illinois Tech,105,REP,750.0
Cal St Fullerton,136,REP,302.0
Brandeis,63,REP,300.0
Gonzaga,98,REP,250.0
Illinois,33,REP,250.0
Cal St Long Beach,109,REP,225.0
Loyola Marymount,91,REP,210.0
CUNY City College,121,REP,200.0
UMass Amherst,58,REP,170.0
Fairfield,132,REP,95.0
Elon,121,REP,85.0
Rutgers Camden,98,REP,85.0
UC Merced,58,REP,50.0
