cycle,party,total
2008,DEM,1619548.0
2008,REP,194263.0
2012,DEM,2853204.0
2012,REP,228431.0
2016,DEM,3990463.0
2016,REP,279124.0
2020,DEM,12352465.0
2020,REP,445225.0
2024,DEM,8489543.0
2024,REP,454114.0
