cycle,party,total
2008,DEM,950242.0
2008,REP,92125.0
2012,DEM,1654938.0
2012,REP,147461.0
2016,DEM,2048013.0
2016,REP,142589.0
2020,DEM,6195456.0
2020,REP,228136.0
2024,DEM,4410002.0
2024,REP,274872.0
