cycle,party,total
2008,DEM,3075000.0
2008,REP,524910.0
2012,DEM,5440858.0
2012,REP,545566.0
2016,DEM,8751385.0
2016,REP,831345.0
2020,DEM,29742274.0
2020,REP,1455354.0
2024,DEM,18256857.0
2024,REP,1189395.0
