institution,rank_2025,cycle,party,committee_type,total
Binghamton,73,2024,DEM,Y,1600.0
Binghamton,73,2024,REP,H,253.0
Binghamton,73,2024,REP,Y,842.0
Boston College,37,2008,DEM,H,250.0
Boston College,37,2008,DEM,S,3550.0
Boston College,37,2008,DEM,Y,7067.0
Boston College,37,2012,DEM,H,3000.0
Boston College,37,2012,DEM,S,20900.0
Boston College,37,2012,DEM,Y,10052.0
Boston College,37,2012,REP,H,2500.0
Boston College,37,2012,REP,S,250.0
Boston College,37,2016,DEM,H,1750.0
Boston College,37,2016,DEM,P,7677.0
Boston College,37,2016,DEM,S,6150.0
Boston College,37,2016,DEM,Y,26442.0
Boston College,37,2016,REP,P,275.0
Boston College,37,2016,REP,Y,500.0
Boston College,37,2020,DEM,H,5812.0
Boston College,37,2020,DEM,P,25497.0
Boston College,37,2020,DEM,S,59602.0
Boston College,37,2020,DEM,Y,30263.0
Boston College,37,2020,REP,H,1000.0
Boston College,37,2020,REP,P,250.0
Boston College,37,2020,REP,S,2250.0
Boston College,37,2020,REP,Y,952.0
Boston College,37,2024,DEM,H,23653.0
Boston College,37,2024,DEM,P,25.0
Boston College,37,2024,DEM,S,11743.0
Boston College,37,2024,DEM,Y,20651.0
Boston College,37,2024,REP,H,500.0
Boston College,37,2024,REP,Y,500.0
Boston Univ,41,2008,DEM,H,7900.0
Boston Univ,41,2008,DEM,S,1000.0
Boston Univ,41,2008,DEM,Y,33444.0
Boston Univ,41,2008,REP,S,2300.0
Boston Univ,41,2008,REP,Y,4451.0
Boston Univ,41,2012,DEM,H,13800.0
Boston Univ,41,2012,DEM,S,84050.0
Boston Univ,41,2012,DEM,Y,42153.0
Boston Univ,41,2012,REP,Y,1500.0
Boston Univ,41,2016,DEM,H,26450.0
Boston Univ,41,2016,DEM,P,29011.0
Boston Univ,41,2016,DEM,S,46163.0
Boston Univ,41,2016,DEM,Y,47649.0
Boston Univ,41,2016,REP,P,1577.0
Boston Univ,41,2016,REP,Y,234.0
Boston Univ,41,2020,DEM,H,74444.0
Boston Univ,41,2020,DEM,P,59377.0
Boston Univ,41,2020,DEM,S,244275.0
Boston Univ,41,2020,DEM,Y,115001.0
Boston Univ,41,2020,REP,H,1260.0
Boston Univ,41,2020,REP,P,1050.0
Boston Univ,41,2020,REP,S,4100.0
Boston Univ,41,2020,REP,Y,6748.0
Boston Univ,41,2024,DEM,H,139221.0
Boston Univ,41,2024,DEM,S,112342.0
Boston Univ,41,2024,DEM,Y,62176.0
Boston Univ,41,2024,REP,H,500.0
Boston Univ,41,2024,REP,S,450.0
Boston Univ,41,2024,REP,Y,1442.0
Brandeis,63,2008,DEM,H,650.0
Brandeis,63,2008,DEM,S,3300.0
Brandeis,63,2008,DEM,Y,1500.0
Brandeis,63,2012,DEM,H,950.0
Brandeis,63,2012,DEM,S,34400.0
Brandeis,63,2012,DEM,Y,7235.0
Brandeis,63,2016,DEM,H,2550.0
Brandeis,63,2016,DEM,P,7812.0
Brandeis,63,2016,DEM,S,5458.0
Brandeis,63,2016,DEM,Y,17675.0
Brandeis,63,2016,REP,P,300.0
Brandeis,63,2020,DEM,H,12514.0
Brandeis,63,2020,DEM,P,15987.0
Brandeis,63,2020,DEM,S,52000.0
Brandeis,63,2020,DEM,Y,27923.0
Brandeis,63,2024,DEM,H,11012.0
Brandeis,63,2024,DEM,S,7557.0
Brandeis,63,2024,DEM,Y,24396.0
Brandeis,63,2024,REP,H,360.0
Brigham Young,109,2008,DEM,Y,10210.0
Brigham Young,109,2008,REP,Y,3125.0
Brigham Young,109,2012,DEM,Y,583.0
Brigham Young,109,2012,REP,S,4000.0
Brigham Young,109,2012,REP,Y,2800.0
Brigham Young,109,2016,DEM,P,892.0
Brigham Young,109,2016,DEM,S,5400.0
Brigham Young,109,2016,DEM,Y,310.0
Brigham Young,109,2016,REP,H,2000.0
Brigham Young,109,2016,REP,P,2675.0
Brigham Young,109,2016,REP,S,900.0
Brigham Young,109,2016,REP,Y,5045.0
Brigham Young,109,2020,DEM,H,13950.0
Brigham Young,109,2020,DEM,P,2728.0
Brigham Young,109,2020,DEM,S,2937.0
Brigham Young,109,2020,DEM,Y,2840.0
Brigham Young,109,2020,REP,H,1936.0
Brigham Young,109,2020,REP,S,700.0
Brigham Young,109,2020,REP,Y,5559.0
Brigham Young,109,2024,DEM,H,40.0
Brigham Young,109,2024,DEM,S,836.0
Brigham Young,109,2024,DEM,Y,923.0
Brigham Young,109,2024,REP,H,810.0
Brigham Young,109,2024,REP,S,4531.0
Brigham Young,109,2024,REP,Y,724.0
Brown,13,2008,DEM,H,500.0
Brown,13,2008,DEM,S,5550.0
Brown,13,2008,DEM,Y,2675.0
Brown,13,2008,REP,S,2300.0
Brown,13,2008,REP,Y,1000.0
Brown,13,2012,DEM,H,7600.0
Brown,13,2012,DEM,S,14250.0
Brown,13,2012,DEM,Y,3550.0
Brown,13,2012,REP,Y,300.0
Brown,13,2016,DEM,H,7020.0
Brown,13,2016,DEM,P,14113.0
Brown,13,2016,DEM,S,9803.0
Brown,13,2016,DEM,Y,28778.0
Brown,13,2016,REP,P,2875.0
Brown,13,2016,REP,Y,1037.0
Brown,13,2020,DEM,H,22174.0
Brown,13,2020,DEM,P,47129.0
Brown,13,2020,DEM,S,54162.0
Brown,13,2020,DEM,Y,43326.0
Brown,13,2020,REP,H,600.0
Brown,13,2020,REP,S,250.0
Brown,13,2020,REP,Y,10000.0
Brown,13,2024,DEM,H,49560.0
Brown,13,2024,DEM,P,50.0
Brown,13,2024,DEM,S,31266.0
Brown,13,2024,DEM,Y,41375.0
Brown,13,2024,REP,H,250.0
Brown,13,2024,REP,S,230.0
CUNY City College,121,2008,DEM,H,1300.0
CUNY City College,121,2012,DEM,H,750.0
CUNY City College,121,2012,DEM,S,750.0
CUNY City College,121,2012,DEM,Y,1400.0
CUNY City College,121,2016,DEM,H,2700.0
CUNY City College,121,2016,DEM,P,1428.0
CUNY City College,121,2016,DEM,S,1050.0
CUNY City College,121,2016,DEM,Y,452.0
CUNY City College,121,2020,DEM,H,1417.0
CUNY City College,121,2020,DEM,P,2674.0
CUNY City College,121,2020,DEM,S,20045.0
CUNY City College,121,2020,DEM,Y,6200.0
CUNY City College,121,2020,REP,Y,200.0
CUNY City College,121,2024,DEM,H,780.0
CUNY City College,121,2024,DEM,S,5776.0
CUNY City College,121,2024,DEM,Y,5250.0
CUNY City College,121,2024,REP,P,300.0
Cal St Fullerton,136,2008,DEM,H,1000.0
Cal St Fullerton,136,2008,DEM,Y,250.0
Cal St Fullerton,136,2016,DEM,H,250.0
Cal St Fullerton,136,2016,DEM,P,234.0
Cal St Fullerton,136,2016,DEM,Y,838.0
Cal St Fullerton,136,2020,DEM,H,1990.0
Cal St Fullerton,136,2020,DEM,P,4522.0
Cal St Fullerton,136,2020,DEM,S,2200.0
Cal St Fullerton,136,2020,DEM,Y,5367.0
Cal St Fullerton,136,2020,REP,H,302.0
Cal St Fullerton,136,2024,DEM,H,11110.0
Cal St Fullerton,136,2024,DEM,S,1070.0
Cal St Fullerton,136,2024,DEM,Y,2095.0
Cal St Fullerton,136,2024,REP,H,200.0
Cal St Long Beach,109,2008,DEM,Y,300.0
Cal St Long Beach,109,2012,DEM,H,1000.0
Cal St Long Beach,109,2012,DEM,S,527.0
Cal St Long Beach,109,2016,DEM,P,955.0
Cal St Long Beach,109,2016,DEM,Y,497.0
Cal St Long Beach,109,2016,REP,P,225.0
Cal St Long Beach,109,2020,DEM,P,2264.0
Cal St Long Beach,109,2020,DEM,S,900.0
