institution,rank_2025,party,total
Notre Dame,18,REP,38428.0
Tulane,63,REP,38189.0
Missouri,109,REP,37500.0
UC Berkeley,17,REP,37483.0
Maryland,44,REP,37022.0
Pitt,70,REP,36755.0
UT Austin,30,REP,34971.0
Yeshiva,98,REP,34965.0
Brigham Young,109,REP,34805.0
Houston,144,REP,33803.0
Princeton,1,REP,31725.0
Virginia,24,REP,31128.0
George Mason,109,REP,30907.0
Rutgers,41,REP,30894.0
George Washington,63,REP,30404.0
Fordham,91,REP,27054.0
TCU,105,REP,26175.0
Boston Univ,41,REP,25612.0
Florida St,54,REP,25036.0
American,91,REP,22450.0
Rice,18,REP,22069.0
SMU,91,REP,20734.0
UC Davis,33,REP,20543.0
Michigan St,63,REP,20324.0
Brown,13,REP,18842.0
Arizona,109,REP,18249.0
Fla International,98,REP,17776.0
Georgia Tech,33,REP,16746.0
South Carolina,121,REP,16476.0
Syracuse,73,REP,16245.0
NC State,58,REP,16202.0
UC San Diego,29,REP,15667.0
Marquette,86,REP,15467.0
UW Madison,39,REP,15076.0
Saint Louis,105,REP,15055.0
North Carolina,27,REP,14720.0
Tufts,37,REP,14160.0
Clemson,80,REP,13683.0
Oregon St,144,REP,13496.0
Rochester,44,REP,13176.0
WPI,86,REP,13016.0
UC Irvine,33,REP,12956.0
Illinois Chicago,80,REP,12500.0
Case Western,51,REP,12383.0
RPI,70,REP,12360.0
Vermont,121,REP,10825.0
Delaware,86,REP,10215.0
UCF,121,REP,9892.0
Connecticut,70,REP,9620.0
Stony Brook,58,REP,9465.0
Dartmouth,15,REP,9221.0
Boston College,37,REP,8977.0
Cornell,11,REP,8941.0
Washington Univ,21,REP,8888.0
Thomas Jefferson,136,REP,8794.0
Northeastern,54,REP,8287.0
Villanova,58,REP,8211.0
Binghamton,73,REP,8172.0
Lehigh,46,REP,7850.0
UT Dallas,109,REP,7815.0
Dayton,136,REP,7510.0
Pepperdine,80,REP,7416.0
Colorado St,148,REP,7345.0
Caltech,6,REP,7194.0
Drexel,86,REP,6790.0
James Madison,148,REP,6627.0
William & Mary,54,REP,5684.0
Carnegie Mellon,21,REP,5672.0
Denver,121,REP,5492.0
San Diego St,109,REP,5209.0
Oregon,109,REP,4000.0
RIT,91,REP,3977.0
Howard,86,REP,3708.0
UMass Amherst,58,REP,3637.0
Santa Clara,63,REP,3476.0
Col School of Mines,76,REP,3387.0
Colorado,98,REP,3380.0
Penn State,63,REP,3180.0
San Diego,109,REP,3100.0
UMBC,144,REP,2951.0
Clarkson,152,REP,2327.0
UC Santa Barbara,39,REP,2220.0
NJIT,84,REP,1700.0
New Hampshire,109,REP,1586.0
Univ at Buffalo,76,REP,1499.0
Miami Oh,136,REP,1475.0
San Francisco,109,REP,1300.0
UC Riverside,76,REP,1257.0
Univ at Albany,121,REP,1218.0
Loyola Chicago,132,REP,975.0
Illinois Tech,105,REP,750.0
Brandeis,63,REP,660.0
Fairfield,132,REP,600.0
Cal St Fullerton,136,REP,502.0
CUNY City College,121,REP,500.0
Gonzaga,98,REP,250.0
Illinois,33,REP,250.0
Cal St Long Beach,109,REP,225.0
Loyola Marymount,91,REP,210.0
Elon,121,REP,85.0
Rutgers Camden,98,REP,85.0
UC Merced,58,REP,50.0
