institution,party,total
Penn,REP,93482.7
Pitt,REP,91237.78
Tulane,REP,87710.18
George Washington,REP,85450.32
Georgia,REP,84804.56999999999
Chapman,REP,83264.25
Florida St,REP,78767.65
USC,REP,78741.84
SMU,REP,76825.0
Boston Univ,REP,76154.72
Arizona St,REP,68633.89
Rutgers,REP,66742.63
Houston,REP,62652.5
George Mason,REP,61223.75
American,REP,55675.92
Marquette,REP,55396.57
Denver,REP,54142.75
Fla International,REP,54043.93
Fordham,REP,50517.45
UT Dallas,REP,47336.51
Rice,REP,47019.36
Syracuse,REP,45020.45
Rochester,REP,44981.43
UT Austin,REP,44920.37
Georgia Tech,REP,43750.76
Thomas Jefferson,REP,42129.96
Saint Louis,REP,41980.2
South Carolina,REP,41791.52
USF,REP,41491.6
Michigan St,REP,40221.19
Creighton,REP,38967.54
Yeshiva,REP,38965.6
North Carolina,REP,38817.5
TCU,REP,38557.25
Brown,REP,37962.95
Cornell,REP,32391.21
Clemson,REP,31388.32
Washington Univ,REP,30453.68
Stony Brook,REP,30268.06
Delaware,REP,29175.3
Tufts,REP,25887.84
Dayton,REP,25757.07
UC San Diego,REP,24852.0
Oregon St,REP,24000.67
VCU,REP,23145.54
Lehigh,REP,22871.25
Drexel,REP,22341.920000000002
UCF,REP,21535.71
Howard,REP,20552.08
Carnegie Mellon,REP,20128.260000000002
Dartmouth,REP,20045.91
Case Western,REP,19756.39
Pepperdine,REP,18722.91
Colorado St,REP,17193.28
Northeastern,REP,17041.31
Caltech,REP,16559.0
San Diego,REP,16224.92
UC Irvine,REP,15546.5
UAB,REP,15245.49
Stevens Inst Tech,REP,14545.0
Binghamton,REP,13568.23
Gonzaga,REP,13566.5
Villanova,REP,13322.44
Connecticut,REP,13071.51
Vermont,REP,12935.46
James Madison,REP,12672.7
Boston College,REP,12527.49
Santa Clara,REP,10847.65
UC Berkeley,REP,10701.75
San Diego St,REP,10555.12
CUNY City College,REP,9734.44
Penn State,REP,9563.86
MIT,REP,8489.45
Miami Oh,REP,8414.0
Col School of Mines,REP,8276.95
UW Madison,REP,8220.0
Univ at Albany,REP,8024.4
Oregon,REP,7387.72
UC Davis,REP,6003.44
William & Mary,REP,5231.15
New Hampshire,REP,4369.54
UC Santa Barbara,REP,4221.0
San Francisco,REP,4196.96
UC Riverside,REP,4161.61
Clarkson,REP,4104.71
Colorado,REP,3725.0
RIT,REP,3666.5
Brandeis,REP,2686.6400000000003
NC State,REP,2250.88
Loyola Chicago,REP,1900.0
RPI,REP,1885.6
Univ at Buffalo,REP,1649.0
Cal St Fullerton,REP,1227.23
UCLA,REP,1222.9
Illinois Tech,REP,1150.0
Rutgers Camden,REP,1107.5
NJIT,REP,1100.0
Fairfield,REP,1068.49
Illinois Chicago,REP,944.1
Loyola Marymount,REP,850.0
Elon,REP,440.0
WPI,REP,424.85
UC Merced,REP,389.95
Michigan Tech,REP,375.0
Cal St Long Beach,REP,225.0
UMass Amherst,REP,141.78
