cycle,party,total
2008,DEM,1998624.0
2008,REP,194263.0
2012,DEM,3508251.0
2012,REP,228431.0
2016,DEM,7524106.0
2016,REP,279124.0
2020,DEM,33270582.0
2020,REP,780190.0
2024,DEM,22032546.0
2024,REP,732424.0
