cycle,party,total
2008,DEM,1163508.0
2008,REP,92125.0
2012,DEM,1962635.0
2012,REP,147461.0
2016,DEM,3729133.0
2016,REP,142589.0
2020,DEM,16820730.0
2020,REP,396164.0
2024,DEM,11256901.0
2024,REP,459465.0
