institution,rank_2025,cycle,party,committee_type,total
Florida,30,2008,DEM,Y,5975.0
Florida,30,2008,REP,H,6200.0
Florida,30,2008,REP,Y,7400.0
Florida St,54,2008,DEM,V,750.0
Florida St,54,2008,DEM,Y,3150.0
Florida St,54,2008,REP,H,3950.0
Florida St,54,2008,REP,Y,2750.0
Fordham,91,2008,DEM,V,2750.0
Fordham,91,2008,DEM,Y,9732.0
Fordham,91,2008,REP,H,1000.0
George Mason,109,2008,DEM,H,1500.0
George Mason,109,2008,DEM,S,4300.0
George Mason,109,2008,DEM,V,2100.0
George Mason,109,2008,DEM,Y,7225.0
George Mason,109,2008,REP,H,1000.0
George Washington,63,2008,DEM,H,1829.0
George Washington,63,2008,DEM,S,17786.0
George Washington,63,2008,DEM,V,4200.0
George Washington,63,2008,DEM,Y,9697.0
George Washington,63,2008,REP,H,250.0
George Washington,63,2008,REP,S,1000.0
George Washington,63,2008,REP,Y,8275.0
Georgetown,24,2008,DEM,H,1950.0
Georgetown,24,2008,DEM,S,2218.0
Georgetown,24,2008,DEM,V,5900.0
Georgetown,24,2008,DEM,Y,19525.0
Georgetown,24,2008,REP,Y,16900.0
Georgia,46,2008,DEM,H,500.0
Georgia,46,2008,DEM,S,750.0
Georgia,46,2008,DEM,V,1900.0
Georgia,46,2008,DEM,Y,8183.0
Georgia,46,2008,REP,Y,7300.0
Georgia Tech,33,2008,DEM,H,250.0
Georgia Tech,33,2008,DEM,V,2805.0
Georgia Tech,33,2008,DEM,Y,3700.0
Georgia Tech,33,2008,REP,Y,1250.0
Gonzaga,98,2008,DEM,H,500.0
Gonzaga,98,2008,DEM,S,250.0
Harvard,3,2008,DEM,H,20000.0
Harvard,3,2008,DEM,S,23850.0
Harvard,3,2008,DEM,V,20360.0
Harvard,3,2008,DEM,Y,216139.0
Harvard,3,2008,REP,H,250.0
Harvard,3,2008,REP,S,1250.0
Harvard,3,2008,REP,Y,3400.0
Houston,144,2008,DEM,H,500.0
Houston,144,2008,DEM,S,475.0
Houston,144,2008,DEM,V,2250.0
Houston,144,2008,DEM,Y,900.0
Houston,144,2008,REP,S,2000.0
Houston,144,2008,REP,Y,2810.0
Howard,86,2008,DEM,H,1800.0
Howard,86,2008,DEM,S,1550.0
Howard,86,2008,DEM,V,250.0
Howard,86,2008,DEM,Y,10750.0
Illinois,33,2008,DEM,H,2000.0
Illinois,33,2008,DEM,S,1550.0
Illinois Chicago,80,2008,DEM,H,3600.0
Illinois Chicago,80,2008,DEM,S,4400.0
Illinois Chicago,80,2008,DEM,V,500.0
Illinois Chicago,80,2008,DEM,Y,800.0
Illinois Chicago,80,2008,REP,H,2300.0
Illinois Tech,105,2008,DEM,H,1500.0
Illinois Tech,105,2008,DEM,S,5200.0
Illinois Tech,105,2008,DEM,V,900.0
Illinois Tech,105,2008,DEM,Y,3750.0
Illinois Tech,105,2008,REP,Y,500.0
Indiana,73,2008,DEM,H,4050.0
Indiana,73,2008,DEM,V,4750.0
Indiana,73,2008,DEM,Y,19748.0
Indiana,73,2008,REP,H,4600.0
Indiana,73,2008,REP,Y,3700.0
Iowa,98,2008,DEM,S,750.0
Iowa,98,2008,DEM,V,13250.0
Iowa,98,2008,DEM,Y,15498.0
Iowa,98,2008,REP,H,2800.0
Iowa,98,2008,REP,S,500.0
Iowa,98,2008,REP,Y,1230.0
Iowa St,121,2008,DEM,H,2450.0
Iowa St,121,2008,DEM,V,1650.0
Iowa St,121,2008,DEM,Y,8290.0
Iowa St,121,2008,REP,Y,1000.0
James Madison,148,2008,DEM,S,250.0
Johns Hopkins,6,2008,DEM,H,10900.0
Johns Hopkins,6,2008,DEM,S,2250.0
Johns Hopkins,6,2008,DEM,V,3550.0
Johns Hopkins,6,2008,DEM,Y,18346.0
Johns Hopkins,6,2008,REP,H,21675.0
Johns Hopkins,6,2008,REP,Y,7500.0
Kansas,152,2008,DEM,V,2300.0
Kansas,152,2008,DEM,Y,5558.0
Kansas,152,2008,REP,H,300.0
Kansas,152,2008,REP,Y,5650.0
Lehigh,46,2008,DEM,H,500.0
Lehigh,46,2008,DEM,V,1250.0
Lehigh,46,2008,REP,Y,500.0
Loyola Chicago,132,2008,DEM,H,600.0
Loyola Chicago,132,2008,DEM,V,1850.0
Loyola Chicago,132,2008,DEM,Y,1500.0
Loyola Marymount,91,2008,DEM,H,750.0
Loyola Marymount,91,2008,DEM,V,1000.0
Loyola Marymount,91,2008,DEM,Y,500.0
MIT,2,2008,DEM,H,20950.0
MIT,2,2008,DEM,S,5860.0
MIT,2,2008,DEM,V,22716.0
MIT,2,2008,DEM,Y,54800.0
MIT,2,2008,REP,H,200.0
MIT,2,2008,REP,S,3000.0
Marquette,86,2008,DEM,H,550.0
Marquette,86,2008,DEM,Y,1150.0
Marquette,86,2008,REP,Y,250.0
Maryland,44,2008,DEM,H,16750.0
Maryland,44,2008,DEM,S,3793.0
Maryland,44,2008,DEM,V,6500.0
Maryland,44,2008,DEM,Y,31182.0
Maryland,44,2008,REP,Y,1550.0
Miami Oh,136,2008,DEM,V,250.0
Miami Oh,136,2008,DEM,Y,6603.0
Miami Oh,136,2008,REP,Y,225.0
Michigan,21,2008,DEM,H,7100.0
Michigan,21,2008,DEM,S,15500.0
Michigan,21,2008,DEM,V,22350.0
Michigan,21,2008,DEM,Y,32516.0
Michigan,21,2008,REP,H,1200.0
Michigan,21,2008,REP,Y,7230.0
Michigan St,63,2008,DEM,H,750.0
Michigan St,63,2008,DEM,S,2950.0
Michigan St,63,2008,DEM,V,6300.0
Michigan St,63,2008,DEM,Y,6150.0
Michigan St,63,2008,REP,Y,2880.0
Minnesota,54,2008,DEM,H,3500.0
Minnesota,54,2008,DEM,V,7400.0
Minnesota,54,2008,DEM,Y,26779.0
Minnesota,54,2008,REP,H,1000.0
Minnesota,54,2008,REP,Y,1600.0
Missouri,109,2008,DEM,H,250.0
Missouri,109,2008,DEM,V,25256.0
Missouri,109,2008,DEM,Y,4550.0
Missouri,109,2008,REP,Y,7320.0
NC State,58,2008,DEM,V,29950.0
NC State,58,2008,DEM,Y,8400.0
NC State,58,2008,REP,Y,1250.0
NJIT,84,2008,DEM,S,250.0
NJIT,84,2008,DEM,V,500.0
NJIT,84,2008,DEM,Y,1500.0
NJIT,84,2008,REP,H,225.0
NYU,30,2008,DEM,H,8500.0
