institution,rank_2025,party,total
Vermont,121,DEM,2150.0
San Diego,109,DEM,2108.0
Saint Louis,105,DEM,2034.0
San Diego St,109,DEM,2000.0
UC Santa Barbara,39,DEM,1900.0
CUNY City College,121,DEM,1800.0
Lehigh,46,DEM,1750.0
UCF,121,DEM,1750.0
Marquette,86,DEM,1700.0
Creighton,121,DEM,1650.0
UT Dallas,109,DEM,1500.0
Clark,132,DEM,1325.0
Fairfield,132,DEM,1275.0
Cal St Fullerton,136,DEM,1250.0
UC Santa Cruz,84,DEM,1000.0
Washington Univ,21,DEM,1000.0
Col School of Mines,76,DEM,800.0
Gonzaga,98,DEM,750.0
Auburn,105,DEM,716.0
RPI,70,DEM,700.0
UC Riverside,76,DEM,700.0
Baylor,91,DEM,650.0
Cal St Long Beach,109,DEM,550.0
Clarkson,152,DEM,500.0
Dayton,136,DEM,500.0
UMass Amherst,58,DEM,500.0
Virginia Tech,51,DEM,500.0
TCU,105,DEM,450.0
Rutgers Newark,80,DEM,300.0
James Madison,148,DEM,250.0
Rutgers Camden,98,DEM,250.0
Stevens Inst Tech,76,DEM,250.0
Elon,121,DEM,200.0
Columbia,13,REP,31450.0
Johns Hopkins,6,REP,29175.0
Duke,6,REP,28600.0
Yeshiva,98,REP,28500.0
Ohio St,41,REP,26118.0
NYU,30,REP,22375.0
Georgetown,24,REP,16900.0
USC,27,REP,14880.0
Florida,30,REP,13600.0
U of Miami,63,REP,11175.0
Princeton,1,REP,10700.0
UCLA,15,REP,10461.0
Wake Forest,46,REP,9650.0
George Washington,63,REP,9525.0
Texas A&M,51,REP,9205.0
Stanford,4,REP,9150.0
Michigan,21,REP,8430.0
Indiana,73,REP,8300.0
North Carolina,27,REP,8200.0
Chicago,11,REP,7702.0
Vanderbilt,18,REP,7650.0
Rutgers,41,REP,7649.0
Missouri,109,REP,7320.0
Georgia,46,REP,7300.0
UAB,136,REP,7150.0
Boston Univ,41,REP,6751.0
Florida St,54,REP,6700.0
Kansas,152,REP,5950.0
Virginia,24,REP,5400.0
Harvard,3,REP,4900.0
Notre Dame,18,REP,4870.0
Binghamton,73,REP,4850.0
Houston,144,REP,4810.0
Chapman,121,REP,4585.0
Iowa,98,REP,4530.0
USF,91,REP,4175.0
Tennessee,109,REP,4076.0
Arizona,109,REP,3912.0
VCU,136,REP,3910.0
Emory,24,REP,3500.0
Syracuse,73,REP,3400.0
Brown,13,REP,3300.0
Pitt,70,REP,3270.0
MIT,2,REP,3200.0
Brigham Young,109,REP,3125.0
Temple,98,REP,2950.0
Michigan St,63,REP,2880.0
Arizona St,121,REP,2650.0
Minnesota,54,REP,2600.0
Purdue,46,REP,2420.0
Delaware,86,REP,2350.0
Drexel,86,REP,2350.0
Auburn,105,REP,2300.0
Illinois Chicago,80,REP,2300.0
Pepperdine,80,REP,2300.0
Northwestern,6,REP,2200.0
Cornell,11,REP,2050.0
Yale,5,REP,2050.0
Tufts,37,REP,2000.0
Baylor,91,REP,1990.0
SMU,91,REP,1920.0
UC Santa Barbara,39,REP,1920.0
Washington,46,REP,1900.0
Utah,136,REP,1870.0
Dayton,136,REP,1750.0
